,train_no,train_name,source,destination,train_link
6511,17213,Narasapur Nagarsol Express,Narasapur,Nagarsol,https://www.prokerala.com//travel/indian-railway/trains/narasapur-nagarsol-express-1958.html
6512,77241,Narasapur Rajahmundry  DEMU,Narasapur,Rajamundry,https://www.prokerala.com//travel/indian-railway/trains/narasapur-rajahmundry-demu-7227.html
6513,07255,Narasapur Secunderabad Special Fare Special,Bhimavaram Junction,Secunderabad Junction,https://www.prokerala.com//travel/indian-railway/trains/narasapur-secunderabad-special-fare-special-9881.html
6514,77204,Narasapur Vijayawada  DEMU,Narasapur,Vijayawada Junction,https://www.prokerala.com//travel/indian-railway/trains/narasapur-vijayawada-demu-7193.html
6515,77202,Narasapur Vijaywada  DEMU,Narasapur,Vijayawada Junction,https://www.prokerala.com//travel/indian-railway/trains/narasapur-vijaywada-demu-7191.html
6516,57264,Narasapur Visakhapatnam Passenger,Narasapur,Bhimavaram Junction,https://www.prokerala.com//travel/indian-railway/trains/narasapur-visakhapatnam-passenger-4915.html
6517,12733,Narayanadri Super Fast Express,Tirupati,Lingampalli,https://www.prokerala.com//travel/indian-railway/trains/narayanadri-super-fast-express-1192.html
6518,12734,Narayanadri Super Fast Express,Lingampalli,Tirupati,https://www.prokerala.com//travel/indian-railway/trains/narayanadri-super-fast-express-1193.html
6519,52502,Narkatiaganj - Bhikhna Thori (Meter Gauge) Passenger,Narkatia Junction,Bhikhna Thori,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-bhikhna-thori-meter-gauge-passenger-3429.html
6520,52504,Narkatiaganj - Bhikhna Thori (Meter Gauge) Passenger,Narkatia Junction,Bhikhna Thori,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-bhikhna-thori-meter-gauge-passenger-3431.html
6521,52506,Narkatiaganj - Bhikhna Thori (Meter Gauge) Passenger,Narkatia Junction,Bhikhna Thori,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-bhikhna-thori-meter-gauge-passenger-3433.html
6522,55201,Narkatiaganj - Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4290.html
6523,55203,Narkatiaganj - Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4292.html
6524,55210,Narkatiaganj - Sonpur Passenger,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-sonpur-passenger-4298.html
6525,55029,Narkatiaganj Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4206.html
6526,55041,Narkatiaganj Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4218.html
6527,55071,Narkatiaganj Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4228.html
6528,55073,Narkatiaganj Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4230.html
6529,55081,Narkatiaganj Gorakhpur Passenger,Narkatiaganj Junction,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-gorakhpur-passenger-4238.html
6530,75238,Narkatiaganj Muzaffarpur Demu,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-demu-8557.html
6531,15216,Narkatiaganj Muzaffarpur Intercity Express,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-intercity-express-2968.html
6532,63338,Narkatiaganj Muzaffarpur Memu,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-memu-9729.html
6533,63342,Narkatiaganj Muzaffarpur Memu,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-memu-9732.html
6534,63310,Narkatiaganj Muzaffarpur Memu,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-memu-9719.html
6535,63334,Narkatiaganj Muzaffarpur Memu,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-memu-9727.html
6536,55220,Narkatiaganj Muzaffarpur Passenger,Narkatiaganj Junction,Muzaffarpur Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-muzaffarpur-passenger-8075.html
6537,25202,Narkatiaganj Patliputra Intercity Express,Narkatiaganj Junction,Sagauli Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-patliputra-intercity-express-3059.html
6538,75268,Narkatiaganj Raxaul  DEMU,Narkatiaganj Junction,Raxaul Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-raxaul-demu-9869.html
6539,75236,Narkatiaganj Raxaul  DEMU,Narkatiaganj Junction,Raxaul Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-raxaul-demu-7104.html
6540,75266,Narkatiaganj Raxaul DEMU,Narkatiaganj Junction,Raxaul Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-raxaul-demu-9221.html
6541,55586,Narkatiaganj Raxaul Passenger,Narkatiaganj Junction,Raxaul Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-raxaul-passenger-9171.html
6542,55588,Narkatiaganj Raxaul Passenger,Narkatiaganj Junction,Raxaul Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiaganj-raxaul-passenger-9172.html
6543,52508,Narkatiganj - Bhelwa (Meter Gauge) Passenger,Narkatia Junction,Sikta,https://www.prokerala.com//travel/indian-railway/trains/narkatiganj-bhelwa-meter-gauge-passenger-3435.html
6544,52510,Narkatiganj - Bhelwa (Meter Gauge) Passenger,Narkatia Junction,Sikta,https://www.prokerala.com//travel/indian-railway/trains/narkatiganj-bhelwa-meter-gauge-passenger-3437.html
6545,52512,Narkatiganj - Bhelwa (Meter Gauge) Passenger,Narkatia Junction,Sikta,https://www.prokerala.com//travel/indian-railway/trains/narkatiganj-bhelwa-meter-gauge-passenger-3439.html
6546,55574,Narkatiganj - Raxaul (BG) Passenger,Narkatiaganj Junction,Raxaul Junction,https://www.prokerala.com//travel/indian-railway/trains/narkatiganj-raxaul-bg-passenger-4425.html
6547,51184,Narkher Bhusaval Passenger,Narkher,Bhusaval,https://www.prokerala.com//travel/indian-railway/trains/narkher-bhusaval-passenger-3103.html
6548,17642,Narkher Kacheguda Intercity Express,Narkher,Kacheguda,https://www.prokerala.com//travel/indian-railway/trains/narkher-kacheguda-intercity-express-5765.html
6549,51152,Narkher New Amravati Passenger,Narkher,New Amravati,https://www.prokerala.com//travel/indian-railway/trains/narkher-new-amravati-passenger-5865.html
6550,18233,Narmada Express,Indore Junction (BG),Bilaspur,https://www.prokerala.com//travel/indian-railway/trains/narmada-express-1194.html
6551,18234,Narmada Express,Bilaspur,Indore Junction (BG),https://www.prokerala.com//travel/indian-railway/trains/narmada-express-1195.html
6552,07258,Narsapur Hyderabad Special Fare Special,Narasapur,Hyderabad Deccan,https://www.prokerala.com//travel/indian-railway/trains/narsapur-hyderabad-special-fare-special-8987.html
6553,17231,Narsapur Nagarsol Express,Narasapur,Nagarsol,https://www.prokerala.com//travel/indian-railway/trains/narsapur-nagarsol-express-3017.html
6554,77275,Narsapur Nidadavolu Demu,Narasapur,Nidadavolu Junction,https://www.prokerala.com//travel/indian-railway/trains/narsapur-nidadavolu-demu-9025.html
6555,17241,Narsapur Nidadavolu Express,Narasapur,Nidadavolu Junction,https://www.prokerala.com//travel/indian-railway/trains/narsapur-nidadavolu-express-3019.html
6556,07247,Narsapur Tirupati Tatkal Special,Narasapur,Tirupati,https://www.prokerala.com//travel/indian-railway/trains/narsapur-tirupati-tatkal-special-9880.html
6557,54010,Narwana Jind Passenger,Narwana Junction,Jind Junction,https://www.prokerala.com//travel/indian-railway/trains/narwana-jind-passenger-3823.html
6558,19576,Nathdwara Okha Express,Nathdwara,Okha,https://www.prokerala.com//travel/indian-railway/trains/nathdwara-okha-express-2658.html
6559,14512,Nauchandi Express,Saharanpur,Prayag Ghat,https://www.prokerala.com//travel/indian-railway/trains/nauchandi-express-1196.html
6560,14511,Nauchandi Express,Prayag Ghat,Saharanpur,https://www.prokerala.com//travel/indian-railway/trains/nauchandi-express-1197.html
6561,24512,Nauchandi Link Express,Bulandshahr,Allahabad Junction,https://www.prokerala.com//travel/indian-railway/trains/nauchandi-link-express-2146.html
